,Date,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
0,1600804868,hobart,AU,-42.88,147.33,50.0,71,90,17.22
1,1600805035,jiangyou,CN,31.77,104.72,62.65,86,88,0.85
2,1600804328,new norfolk,AU,-42.78,147.06,46.99,78,77,1.99
3,1600805002,ushuaia,AR,-54.8,-68.3,44.6,70,20,17.22
4,1600805035,abu samrah,SY,35.3,37.18,69.08,80,0,9.19
5,1600804551,bambous virieux,MU,-20.34,57.76,69.8,73,40,5.82
6,1600804501,coquimbo,CL,-29.95,-71.34,57.2,82,75,12.75
7,1600804711,portland,US,45.52,-122.68,72.0,64,75,5.82
8,1600804576,pevek,RU,69.7,170.31,37.72,90,100,17.67
9,1600804323,rikitea,PF,-23.12,-134.97,72.63,75,99,18.63
10,1600804737,cockburn town,TC,21.46,-71.14,82.38,79,100,11.07
11,1600805036,busca,IT,44.52,7.47,63.0,100,100,3.36
12,1600805036,talcahuano,CL,-36.72,-73.12,60.8,67,52,16.11
13,1600805036,bubaque,GW,11.28,-15.83,81.48,79,0,8.63
14,1600804554,kahului,US,20.89,-156.47,86.0,51,20,14.99
15,1600805036,lusambo,CD,-4.97,23.45,73.24,85,0,0.81
16,1600804552,kapaa,US,22.08,-159.32,82.4,69,75,14.99
17,1600804556,busselton,AU,-33.65,115.33,48.0,79,73,7.96
18,1600804357,tuatapere,NZ,-46.13,167.68,52.0,93,48,5.99
19,1600804264,barrow,US,71.29,-156.79,35.6,80,90,17.22
20,1600805037,tasiilaq,GL,65.61,-37.64,30.2,74,90,12.75
21,1600804807,albany,US,42.6,-73.97,69.01,30,0,7.27
22,1600805037,pendleton,US,45.67,-118.79,75.99,38,20,12.75
23,1600805037,aldan,RU,58.6,125.39,35.92,82,0,1.59
24,1600804564,hithadhoo,MV,-0.6,73.08,82.13,68,24,8.16
25,1600804570,hilo,US,19.73,-155.09,80.6,61,90,6.33
26,1600804333,georgetown,MY,5.41,100.34,78.8,94,40,5.82
27,1600804499,mataura,NZ,-46.19,168.86,52.0,93,60,5.99
28,1600804649,port macquarie,AU,-31.43,152.92,54.0,80,0,2.95
29,1600804565,ponta do sol,PT,32.67,-17.1,77.0,69,40,9.17
30,1600804569,qaanaaq,GL,77.48,-69.36,14.88,81,0,7.65
31,1600805038,mandurah,AU,-32.55,115.7,50.0,81,3,7.58
32,1600805038,tuktoyaktuk,CA,69.45,-133.04,39.2,86,90,2.24
33,1600805038,nioro,GM,13.35,-15.75,80.85,73,2,3.78
34,1600805038,yanam,IN,16.73,82.22,79.36,87,13,6.4
35,1600804675,dunedin,NZ,-45.87,170.5,57.99,64,18,5.01
36,1600804541,nikolskoye,RU,59.7,30.79,54.0,81,20,6.71
37,1600804574,comodoro rivadavia,AR,-45.87,-67.5,66.2,35,20,13.87
38,1600804416,faanui,PF,-16.48,-151.75,77.9,78,6,18.48
39,1600804736,buala,SB,-8.14,159.59,81.01,76,94,3.74
40,1600805039,ushtobe,KZ,45.25,77.98,51.31,43,6,3.22
41,1600804412,chuy,UY,-33.7,-53.46,56.19,65,22,8.52
42,1600805039,ust-kuyga,RU,70.02,135.6,37.71,81,26,5.7
43,1600805039,davila,PH,18.47,120.58,80.94,80,54,6.02
44,1600804508,cape town,ZA,-33.93,18.42,59.0,82,0,14.99
45,1600805040,bingol,TR,38.88,40.49,62.29,40,0,3.47
46,1600805040,shenjiamen,CN,29.96,122.3,72.3,80,100,11.65
47,1600805040,letovice,CZ,49.55,16.57,60.01,73,35,5.68
48,1600805040,anloga,GH,5.79,0.9,78.8,83,40,13.87
49,1600805040,benjamin constant,BR,-4.38,-70.03,89.6,58,40,9.17
50,1600804557,khandyga,RU,62.67,135.6,37.62,85,0,1.54
51,1600804516,dingle,PH,11.0,122.67,75.63,88,84,0.72
52,1600804759,aklavik,CA,68.22,-135.01,39.2,93,75,2.24
53,1600805041,qandala,SO,11.47,49.87,91.11,46,63,3.36
54,1600804756,esperance,AU,-33.87,121.9,46.4,100,90,5.82
55,1600805041,jamestown,US,42.1,-79.24,64.99,48,1,10.29
56,1600805041,lata,PT,40.16,-8.33,69.01,77,65,5.99
57,1600804565,sao filipe,CV,14.9,-24.5,80.78,81,16,8.84
58,1600804525,dikson,RU,73.51,80.55,41.18,90,53,14.97
59,1600804555,bredasdorp,ZA,-34.53,20.04,51.8,87,0,3.36
60,1600805042,lompoc,US,34.64,-120.46,78.8,56,1,3.36
61,1600805042,aksu,CN,41.12,80.26,62.6,30,10,3.65
62,1600805042,marsabit,KE,2.33,37.99,70.59,57,9,22.46
63,1600804556,bethel,US,41.37,-73.41,69.01,29,1,16.11
64,1600804795,ilulissat,GL,69.22,-51.1,26.6,68,40,2.24
65,1600804561,luderitz,NA,-26.65,15.16,66.74,35,0,11.34
66,1600804571,arraial do cabo,BR,-22.97,-42.03,66.2,93,90,17.22
67,1600805043,saskylakh,RU,71.92,114.08,42.76,72,0,14.29
68,1600805043,caravelas,BR,-17.71,-39.25,76.89,77,50,10.6
69,1600804535,kamenka,RU,51.32,42.77,57.0,65,18,9.1
70,1600805043,khatanga,RU,71.97,102.5,46.06,75,53,12.59
71,1600804364,kodiak,US,57.79,-152.41,51.8,81,90,23.04
72,1600805044,basqal,AZ,40.76,48.39,66.2,72,75,3.36
73,1600805044,wilmington,US,34.23,-77.94,73.0,43,1,6.93
74,1600805044,spearfish,US,44.49,-103.86,81.0,36,1,9.17
75,1600804754,saint-philippe,RE,-21.36,55.77,66.2,68,33,6.93
76,1600805044,tommot,RU,58.96,126.29,38.28,77,0,2.35
77,1600805044,mehamn,NO,71.04,27.85,42.8,93,75,5.82
78,1600805045,burnie,AU,-41.07,145.92,46.99,87,82,7.0
79,1600805045,iquitos,PE,-3.75,-73.25,86.0,70,75,6.93
80,1600805045,warrnambool,AU,-38.38,142.48,48.0,94,95,3.0
81,1600804554,vaini,TO,-21.2,-175.2,71.6,88,90,10.29
82,1600804394,yellowknife,CA,62.46,-114.35,53.01,93,75,19.46
83,1600805045,lunenburg,CA,44.38,-64.32,50.0,93,100,11.01
84,1600805046,petropavlovsk-kamchatskiy,RU,53.05,158.65,44.6,100,75,6.71
85,1600804353,atuona,PF,-9.8,-139.03,78.49,73,100,20.62
86,1600805046,kloulklubed,PW,7.04,134.26,75.2,94,75,5.68
87,1600804367,mar del plata,AR,-38.0,-57.56,68.0,28,100,14.99
88,1600805046,darapidap,PH,17.21,120.41,78.91,82,6,4.16
89,1600805046,kalmunai,LK,7.42,81.82,82.13,67,86,5.93
90,1600805047,kalakamati,BW,-20.59,27.31,62.6,72,90,18.34
91,1600804515,hermanus,ZA,-34.42,19.23,54.0,88,0,1.99
92,1600805047,bosaso,SO,11.28,49.18,93.02,38,89,6.06
93,1600805047,kushiro,JP,42.98,144.37,52.52,90,27,8.37
94,1600804360,touros,BR,-5.2,-35.46,82.4,61,20,13.87
95,1600804336,punta arenas,CL,-53.15,-70.92,48.2,57,40,19.46
96,1600805047,jodar,ES,37.84,-3.35,73.99,41,100,4.38
97,1600804505,ancud,CL,-41.87,-73.82,51.91,63,26,6.53
98,1600805048,eydhafushi,MV,5.1,73.07,81.61,78,100,14.03
99,1600805048,miandrivazo,MG,-19.52,45.47,75.36,61,0,4.61
100,1600804838,valparaiso,CL,-33.04,-71.63,75.2,29,100,13.87
101,1600804466,port elizabeth,ZA,-33.92,25.57,53.6,93,0,3.36
102,1600804520,butaritari,KI,3.07,172.79,82.9,77,2,17.74
103,1600805048,mlimba,TZ,-8.8,35.82,75.69,53,0,2.01
104,1600805049,dafeng,CN,23.45,108.59,76.78,86,100,1.05
105,1600805049,ornskoldsvik,SE,63.29,18.72,46.4,93,100,4.7
106,1600804578,thompson,CA,55.74,-97.86,53.6,76,75,13.87
107,1600805049,kashi,CN,39.45,75.98,64.4,42,15,8.95
108,1600805049,katangli,RU,51.71,143.23,39.07,81,0,4.21
109,1600805050,tooele,US,40.53,-112.3,87.8,23,1,19.46
110,1600804568,grindavik,IS,63.84,-22.43,39.2,63,20,5.82
111,1600805050,salinas,US,36.68,-121.66,75.0,56,1,3.36
112,1600804280,avarua,CK,-21.21,-159.78,78.8,88,56,12.75
113,1600805050,taonan,CN,45.33,122.78,52.25,74,0,6.06
114,1600805051,nastola,FI,60.95,25.93,51.8,93,85,6.93
115,1600804384,aykhal,RU,66.0,111.5,41.0,65,0,4.47
116,1600804329,east london,ZA,-33.02,27.91,61.39,72,3,11.81
117,1600804753,souillac,MU,-20.52,57.52,69.8,73,40,5.82
118,1600804552,port alfred,ZA,-33.59,26.89,59.16,77,0,9.06
119,1600805051,diego de almagro,CL,-26.37,-70.05,83.48,15,0,12.21
120,1600804557,coihaique,CL,-45.58,-72.07,48.2,45,75,33.33
121,1600804727,cayenne,GF,4.93,-52.33,87.8,66,12,14.99
122,1600805051,bull savanna,JM,17.89,-77.59,82.96,69,100,4.65
123,1600805052,buyo,PH,13.11,123.87,78.12,86,87,3.44
124,1600804539,shingu,JP,33.73,135.98,69.28,88,100,16.42
125,1600805052,terenos,BR,-20.44,-54.86,75.2,64,75,6.93
126,1600805052,wadena,US,46.44,-95.14,82.4,30,1,4.7
127,1600804747,yar-sale,RU,66.83,70.83,39.81,76,94,13.38
128,1600805052,jensen beach,US,27.25,-80.23,86.0,45,40,16.11
129,1600805052,hailar,CN,49.2,119.7,45.61,93,100,3.87
130,1600805053,bluff,NZ,-46.6,168.33,53.01,93,64,5.99
131,1600805053,provideniya,RU,64.38,-173.3,41.0,69,1,4.47
132,1600804581,upernavik,GL,72.79,-56.15,27.86,85,50,4.21
133,1600804533,castro,BR,-24.79,-50.01,61.32,66,60,12.12
134,1600804569,fairbanks,US,64.84,-147.72,46.0,86,1,1.16
135,1600805053,port antonio,JM,18.18,-76.46,88.0,66,40,11.41
136,1600804728,fortuna,US,40.6,-124.16,71.01,72,75,8.05
137,1600804565,alice springs,AU,-23.7,133.88,53.6,30,0,9.64
138,1600805053,lavrentiya,RU,65.58,-171.0,38.52,89,87,8.03
139,1600805054,naze,JP,28.37,129.48,80.6,88,75,18.34
140,1600805054,nautla,MX,20.22,-96.78,84.34,56,0,9.13
141,1600805054,mahebourg,MU,-20.41,57.7,69.8,73,40,5.82
142,1600805054,kitui,KE,-1.37,38.01,67.39,70,46,9.93
143,1600805055,vila franca do campo,PT,37.72,-25.43,69.8,73,20,10.29
144,1600804965,donna,US,26.17,-98.05,91.99,52,40,9.17
145,1600804531,geraldton,AU,-28.77,114.6,48.2,93,0,6.93
146,1600805055,mogadishu,SO,2.04,45.34,78.24,86,56,14.65
147,1600805055,tiznit,MA,29.58,-9.5,77.05,37,70,7.31
148,1600805056,beringovskiy,RU,63.05,179.32,41.22,67,48,6.69
